alpha_g,alpha_l,rho_wood,c_wood_mm_per_microsecond
1.1035330084639084e-04,9.9988964669915359e-01,1.3684155180423686e+03,7.7963196026934967e-01
1.1365938215903260e-04,9.9988634061784099e-01,1.3684109973450029e+03,7.7219615630897054e-01
1.1701368968087710e-04,9.9988298631031913e-01,1.3684064107036763e+03,7.6486525488381341e-01
1.2041619030626283e-04,9.9987958380969377e-01,1.3684017581636570e+03,7.5763836699925635e-01
1.2386685045388313e-04,9.9987613314954615e-01,1.3683970397708640e+03,7.5051453568493565e-01
1.2736563606711437e-04,9.9987263436393292e-01,1.3683922555718655e+03,7.4349274360925677e-01
1.3091251261435565e-04,9.9986908748738568e-01,1.3683874056138798e+03,7.3657192013128092e-01
1.3450744508936740e-04,9.9986549255491064e-01,1.3683824899447739e+03,7.2975094782319982e-01
1.3815039801161721e-04,9.9986184960198843e-01,1.3683775086130638e+03,7.2302866849541181e-01
1.4184133542663013e-04,9.9985815866457339e-01,1.3683724616679128e+03,7.1640388875497685e-01
1.4558022090634503e-04,9.9985441977909362e-01,1.3683673491591326e+03,7.0987538512692716e-01
1.4936701754947101e-04,9.9985063298245058e-01,1.3683621711371818e+03,7.0344190876658763e-01
1.5320168798185375e-04,9.9984679831201817e-01,1.3683569276531646e+03,6.9710218978969385e-01
1.5708419435684463e-04,9.9984291580564311e-01,1.3683516187588325e+03,6.9085494124577562e-01
1.6101449835567272e-04,9.9983898550164430e-01,1.3683462445065825e+03,6.8469886275893921e-01
1.6499256118782501e-04,9.9983500743881215e-01,1.3683408049494556e+03,6.7863264385885846e-01
1.6901834359142609e-04,9.9983098165640860e-01,1.3683353001411385e+03,6.7265496702353644e-01
1.7309180583363059e-04,9.9982690819416642e-01,1.3683297301359614e+03,6.6676451045412122e-01
1.7721290771100962e-04,9.9982278709228900e-01,1.3683240949888977e+03,6.6095995060091450e-01
1.8138160854995144e-04,9.9981861839145003e-01,1.3683183947555644e+03,6.5523996445848887e-01
1.8559786720706185e-04,9.9981440213279293e-01,1.3683126294922204e+03,6.4960323164679146e-01
1.8986164206957035e-04,9.9981013835793042e-01,1.3683067992557662e+03,6.4404843629400110e-01
1.9417289105574053e-04,9.9980582710894428e-01,1.3683009041037446e+03,6.3857426873593082e-01
1.9853157161528467e-04,9.9980146842838469e-01,1.3682949440943376e+03,6.3317942704578567e-01
2.0293764072978559e-04,9.9979706235927024e-01,1.3682889192863686e+03,6.2786261840718860e-01
2.0739105491312084e-04,9.9979260894508692e-01,1.3682828297392996e+03,6.2262256034252328e-01
2.1189177021188889e-04,9.9978810822978814e-01,1.3682766755132322e+03,6.1745798180782918e-01
2.1643974220584783e-04,9.9978356025779413e-01,1.3682704566689060e+03,6.1236762416470414e-01
2.2103492600834940e-04,9.9977896507399167e-01,1.3682641732676991e+03,6.0735024203897525e-01
2.2567727626678525e-04,9.9977432272373323e-01,1.3682578253716251e+03,6.0240460407518115e-01
2.3036674716303218e-04,9.9976963325283696e-01,1.3682514130433362e+03,5.9752949359530760e-01
2.3510329241390571e-04,9.9976489670758606e-01,1.3682449363461187e+03,5.9272370916958916e-01
2.3988686527161686e-04,9.9976011313472835e-01,1.3682383953438955e+03,5.8798606510664941e-01
2.4471741852423234e-04,9.9975528258147572e-01,1.3682317901012232e+03,5.8331539186971759e-01
2.4959490449614151e-04,9.9975040509550384e-01,1.3682251206832934e+03,5.7871053642516679e-01
2.5451927504852701e-04,9.9974548072495151e-01,1.3682183871559300e+03,5.7417036252916931e-01
2.5949048157983989e-04,9.9974050951842020e-01,1.3682115895855907e+03,5.6969375095782648e-01
2.6450847502627883e-04,9.9973549152497376e-01,1.3682047280393645e+03,5.6527959968574126e-01
2.6957320586227352e-04,9.9973042679413771e-01,1.3681978025849719e+03,5.6092682401761906e-01
2.7468462410097595e-04,9.9972531537589904e-01,1.3681908132907649e+03,5.5663435667714278e-01
2.7984267929475118e-04,9.9972015732070529e-01,1.3681837602257247e+03,5.5240114785704819e-01
2.8504732053567740e-04,9.9971495267946431e-01,1.3681766434594620e+03,5.4822616523401280e-01
2.9029849645604677e-04,9.9970970150354399e-01,1.3681694630622169e+03,5.4410839395171251e-01
2.9559615522887275e-04,9.9970440384477111e-01,1.3681622191048561e+03,5.4004683657511954e-01
3.0094024456840175e-04,9.9969905975543161e-01,1.3681549116588758e+03,5.3604051301889011e-01
3.0633071173062968e-04,9.9969366928826942e-01,1.3681475407963967e+03,5.3208846045246161e-01
3.1176750351382179e-04,9.9968823249648620e-01,1.3681401065901664e+03,5.2818973318427020e-01
3.1725056625903856e-04,9.9968274943374091e-01,1.3681326091135575e+03,5.2434340252730960e-01
3.2277984585066369e-04,9.9967722015414928e-01,1.3681250484405673e+03,5.2054855664807453e-01
3.2835528771693991e-04,9.9967164471228309e-01,1.3681174246458165e+03,5.1680430040076353e-01
3.3397683683050738e-04,9.9966602316316955e-01,1.3681097378045488e+03,5.1310975514846557e-01
3.3964443770894526e-04,9.9966035556229105e-01,1.3681019879926300e+03,5.0946405857291588e-01
3.4535803441532122e-04,9.9965464196558473e-01,1.3680941752865479e+03,5.0586636447426669e-01
3.5111757055874274e-04,9.9964888242944128e-01,1.3680862997634106e+03,5.0231584256220807e-01
3.5692298929491326e-04,9.9964307701070509e-01,1.3680783615009466e+03,4.9881167823965422e-01
3.6277423332669315e-04,9.9963722576667335e-01,1.3680703605775029e+03,4.9535307238010906e-01
3.6867124490466642e-04,9.9963132875509531e-01,1.3680622970720460e+03,4.9193924109972925e-01
3.7461396582770979e-04,9.9962538603417228e-01,1.3680541710641587e+03,4.8856941552501648e-01
3.8060233744356632e-04,9.9961939766255647e-01,1.3680459826340423e+03,4.8524284155698438e-01
3.8663630064942559e-04,9.9961336369935061e-01,1.3680377318625124e+03,4.8195877963257272e-01
3.9271579589250763e-04,9.9960728420410749e-01,1.3680294188310013e+03,4.7871650448401171e-01
3.9884076317064812e-04,9.9960115923682935e-01,1.3680210436215552e+03,4.7551530489677774e-01
4.0501114203289336e-04,9.9959498885796716e-01,1.3680126063168341e+03,4.7235448346671338e-01
4.1122687158009433e-04,9.9958877312841987e-01,1.3680041070001105e+03,4.6923335635684266e-01
4.1748789046550995e-04,9.9958251210953453e-01,1.3679955457552694e+03,4.6615125305435012e-01
4.2379413689541234e-04,9.9957620586310458e-01,1.3679869226668070e+03,4.6310751612815526e-01
4.3014554862969403e-04,9.9956985445137025e-01,1.3679782378198292e+03,4.6010150098746722e-01
4.3654206298248625e-04,9.9956345793701751e-01,1.3679694913000526e+03,4.5713257564166065e-01
4.4298361682277356e-04,9.9955701638317718e-01,1.3679606831938015e+03,4.5420012046179059e-01
4.4947014657502170e-04,9.9955052985342496e-01,1.3679518135880082e+03,4.5130352794401268e-01
4.5600158821979930e-04,9.9954399841178021e-01,1.3679428825702123e+03,4.4844220247516647e-01
4.6257787729441559e-04,9.9953742212270558e-01,1.3679338902285594e+03,4.4561556010072667e-01
4.6919894889355107e-04,9.9953080105110648e-01,1.3679248366518002e+03,4.4282302829532705e-01
4.7586473766990270e-04,9.9952413526233008e-01,1.3679157219292899e+03,4.4006404573601504e-01
4.8257517783482587e-04,9.9951742482216521e-01,1.3679065461509870e+03,4.3733806207839238e-01
4.8933020315898579e-04,9.9951066979684100e-01,1.3678973094074527e+03,4.3464453773576234e-01
