alpha_g,alpha_l,rho_wood,c_wood
2.5451927504852701e-02,9.7454807249514730e-01,1.3337637424466932e+03,6.4616654256612165e+01
2.5949048157983989e-02,9.7405095184201596e-01,1.3330839854127530e+03,6.4012479053181679e+01
2.6450847502627883e-02,9.7354915249737206e-01,1.3323978307901289e+03,6.3420102581602031e+01
2.6957320586227351e-02,9.7304267941377265e-01,1.3317052853508894e+03,6.2839189558792320e+01
2.7468462410097594e-02,9.7253153758990241e-01,1.3310063559301782e+03,6.2269417286829594e+01
2.7984267929475115e-02,9.7201573207052494e-01,1.3303010494261466e+03,6.1710475068739584e+01
2.8504732053567738e-02,9.7149526794643226e-01,1.3295893727998853e+03,6.1162063656496962e+01
2.9029849645604677e-02,9.7097015035439527e-01,1.3288713330753551e+03,6.0623894729184833e+01
2.9559615522887273e-02,9.7044038447711278e-01,1.3281469373393186e+03,6.0095690399410046e+01
3.0094024456840174e-02,9.6990597554315983e-01,1.3274161927412683e+03,5.9577182746207313e+01
3.0633071173062965e-02,9.6936692882693709e-01,1.3266791064933595e+03,5.9068113372789881e+01
3.1176750351382176e-02,9.6882324964861777e-01,1.3259356858703350e+03,5.8568232987620242e+01
3.1725056625903858e-02,9.6827494337409614e-01,1.3251859382094567e+03,5.8077301007379631e+01
3.2277984585066366e-02,9.6772201541493363e-01,1.3244298709104316e+03,5.7595085180514197e+01
3.2835528771693989e-02,9.6716447122830607e-01,1.3236674914353380e+03,5.7121361230124812e+01
3.3397683683050738e-02,9.6660231631694926e-01,1.3228988073085538e+03,5.6655912515052393e+01
3.3964443770894526e-02,9.6603555622910542e-01,1.3221238261166811e+03,5.6198529708087165e+01
3.4535803441532120e-02,9.6546419655846782e-01,1.3213425555084714e+03,5.5749010490301295e+01
3.5111757055874271e-02,9.6488824294412567e-01,1.3205550031947505e+03,5.5307159260571638e+01
3.5692298929491328e-02,9.6430770107050867e-01,1.3197611769483410e+03,5.4872786859419577e+01
3.6277423332669312e-02,9.6372257666733074e-01,1.3189610846039882e+03,5.4445710306352105e+01
