timestep,min_pres,x,y,z
88,101325.0,-0.321562,0.381563,
89,101325.0,0.413438,0.280312,
90,101325.0,0.495938,0.0534375,
91,101325.0,0.201563,0.456563,
92,101325.0,0.383438,0.319687,
93,101325.0,0.430313,0.254062,
94,101325.0,0.184688,0.464063,
95,101325.0,0.190313,0.462188,
96,101325.0,-0.214687,0.450938,
97,101325.0,-0.300937,0.398438,
98,101325.0,-0.0159375,0.497813,
99,101325.0,0.270938,0.419063,
100,101325.0,0.482813,0.122813,
101,101325.0,0.420938,0.269062,
102,101325.0,-0.342187,0.362813,
103,101325.0,-0.117187,0.484688,
104,101325.0,0.265313,0.417188,
105,101325.0,0.494063,0.0684375,
106,101325.0,0.449063,0.218437,
107,101325.0,-0.349687,0.357188,
108,101325.0,-0.0496875,0.495938,
109,101325.0,0.269063,0.420938,
110,101325.0,0.295313,0.402188,
111,101325.0,0.428438,0.255937,
112,101325.0,-0.107812,0.486563,
113,101325.0,-0.374062,0.334688,
114,101325.0,-0.368437,0.340313,
115,101325.0,-0.360937,0.349688,
116,101325.0,-0.353437,0.357188,
117,101325.0,-0.344062,0.364688,
118,101325.0,-0.338437,0.370313,
119,101325.0,-0.330937,0.377813,
120,101325.0,-0.321562,0.385313,
121,101325.0,0.124688,0.482813,
122,101325.0,-0.304687,0.398438,
123,101325.0,0.484688,0.0009375,
124,101325.0,0.477188,0.0009375,
125,101325.0,0.464063,0.184687,
126,101325.0,0.0778125,0.458438,
127,101325.0,0.0721875,0.456563,
128,101325.0,0.0684375,0.449063,
129,101325.0,0.0740625,0.439688,
130,101325.0,0.124688,0.482813,
131,101325.0,0.0384375,0.465938,
132,101325.0,0.117188,0.484688,
133,101325.0,0.0703125,0.428438,
134,101325.0,0.0196875,0.443438,
135,101325.0,0.0796875,0.400313,
136,101325.0,0.0684375,0.396563,
137,101325.0,-0.0384375,0.497813,
138,101325.0,0.165938,0.471563,
139,101325.0,0.499688,0.0140625,
140,101325.0,0.499688,0.0046875,
141,101325.0,0.244688,0.435938,
142,101325.0,0.158438,0.473438,
143,101325.0,0.109688,0.486563,
144,101325.0,0.104063,0.488438,
145,101325.0,0.426563,0.244687,
146,101325.0,0.194063,0.460313,
147,101325.0,0.126563,0.482813,
148,101325.0,0.345938,0.360938,
149,101325.0,0.175313,0.467813,
150,101325.0,0.443438,0.224062,
151,101325.0,0.351563,0.355313,
152,101325.0,0.482813,0.126563,
153,101325.0,0.494063,0.0721875,
154,101325.0,0.430313,0.254062,
155,99213.5,0.0084375,0.490313,
156,96492.0,0.0178125,0.490313,
157,93892.0,0.0328125,0.486563,
158,85926.6,0.0440625,0.482813,
159,78285.7,0.0553125,0.479063,
160,69771.0,0.0646875,0.475313,
161,59730.7,0.0778125,0.473438,
162,48874.6,0.0890625,0.469688,
163,36852.8,0.0984375,0.465938,
