timestep,min_pres,x,y,z
322,61.1694,0.454688,0.0009375,
323,61.0548,0.452813,0.0009375,
324,60.8809,0.452813,0.0009375,
325,61.4909,0.452813,0.0009375,
326,62.6744,0.450938,0.0009375,
327,64.3467,0.450938,0.0009375,
328,70.3504,0.450938,0.0009375,
329,95.5427,0.450938,0.0009375,
330,40902.1,0.235313,0.368438,
331,492.607,0.454688,0.0009375,
332,827.329,0.456563,0.0009375,
333,3452.57,0.477188,0.0046875,
334,1069.26,0.482813,0.0009375,
335,487.584,0.490313,0.0009375,
336,321.941,0.488438,0.0009375,
337,255.276,0.486563,0.0009375,
338,232.103,0.484688,0.0009375,
339,225.234,0.484688,0.0009375,
340,270.699,0.482813,0.0009375,
341,754.74,0.482813,0.0009375,
342,73192.8,0.111563,0.374063,
343,1532.49,0.495938,0.0009375,
344,456.566,0.494063,0.0009375,
345,67673.8,0.480938,0.0009375,
346,96732.4,0.0684375,0.377813,
347,101311.0,0.737243,0.0009375,
348,101311.0,0.740808,0.0009375,
349,101311.0,0.744417,0.0009375,
350,101311.0,0.748071,0.0009375,
351,101311.0,0.751769,0.0009375,
352,101311.0,0.751769,0.0009375,
353,101311.0,0.755513,0.0009375,
354,101311.0,0.759303,0.0009375,
355,101311.0,0.759303,0.0009375,
356,101311.0,0.76314,0.0009375,
357,101311.0,0.767023,0.0009375,
358,101311.0,0.759303,0.0234375,
359,101311.0,0.76314,0.0234375,
360,101311.0,0.76314,0.0234375,
361,101311.0,0.767023,0.0234375,
362,101311.0,0.770955,0.0234375,
363,101311.0,0.774935,0.0234375,
364,101311.0,0.778965,0.0234375,
365,101311.0,0.778965,0.0215625,
366,101311.0,0.783043,0.0215625,
367,101311.0,0.787172,0.0215625,
368,101311.0,0.774935,0.0009375,
369,101311.0,0.778965,0.0009375,
370,101311.0,0.783043,0.0009375,
371,101311.0,0.787172,0.0009375,
372,100726.0,0.278438,0.381563,
373,99603.4,0.269063,0.389063,
374,97308.7,0.259688,0.389063,
375,95010.7,0.246563,0.381563,
376,93924.2,0.239063,0.389063,
377,92197.6,0.229688,0.402188,
378,94899.0,0.222188,0.407813,
379,98679.7,0.209063,0.402188,
380,97137.4,0.199688,0.407813,
381,94750.4,0.190313,0.411563,
382,94643.9,0.180938,0.419063,
383,96673.6,0.171563,0.422813,
384,101321.0,0.870828,0.0346875,
385,101311.0,0.259688,0.424688,
386,100542.0,0.259688,0.424688,
387,100043.0,0.259688,0.424688,
388,99417.8,0.259688,0.424688,
389,98443.3,0.259688,0.424688,
390,98011.0,0.259688,0.424688,
391,98322.7,0.259688,0.424688,
392,99089.1,0.259688,0.424688,
393,100073.0,0.259688,0.424688,
394,100900.0,0.259688,0.424688,
395,101027.0,0.263438,0.422813,
396,100871.0,0.263438,0.422813,
397,100302.0,0.282188,0.409688,
398,99487.2,0.282188,0.409688,
399,98452.5,0.287813,0.405938,
400,97934.3,0.287813,0.405938,
