timestep,max_alpha_rho2,x,y,z
275,7.48098e-09,0.224063,0.0646875,
276,7.46312e-09,0.224063,0.0646875,
277,7.44407e-09,0.224063,0.0646875,
278,7.4256e-09,0.224063,0.0646875,
279,7.40707e-09,0.224063,0.0646875,
280,7.38785e-09,0.224063,0.0646875,
281,7.36962e-09,0.224063,0.0646875,
282,7.35124e-09,0.224063,0.0646875,
283,7.33185e-09,0.224063,0.0646875,
284,7.3131e-09,0.224063,0.0646875,
285,7.29399e-09,0.224063,0.0646875,
286,7.27349e-09,0.224063,0.0646875,
287,7.25366e-09,0.224063,0.0646875,
288,7.23338e-09,0.224063,0.0646875,
289,7.21214e-09,0.224063,0.0646875,
290,7.19287e-09,0.224063,0.0646875,
291,7.17394e-09,0.224063,0.0646875,
292,7.15374e-09,0.224063,0.0646875,
293,7.1348e-09,0.224063,0.0646875,
294,7.11616e-09,0.224063,0.0646875,
295,7.09642e-09,0.224063,0.0646875,
296,7.07758e-09,0.224063,0.0646875,
297,7.0578e-09,0.224063,0.0646875,
298,7.03918e-09,0.224063,0.0646875,
299,7.02056e-09,0.224063,0.0646875,
300,7.0009e-09,0.224063,0.0646875,
301,6.98235e-09,0.224063,0.0646875,
302,6.96389e-09,0.224063,0.0646875,
303,6.94429e-09,0.224063,0.0646875,
304,6.92559e-09,0.224063,0.0646875,
305,6.90707e-09,0.224063,0.0646875,
306,6.88775e-09,0.224063,0.0646875,
307,6.86944e-09,0.224063,0.0646875,
308,6.85101e-09,0.224063,0.0646875,
309,6.83156e-09,0.224063,0.0646875,
310,6.81322e-09,0.224063,0.0646875,
311,6.79489e-09,0.224063,0.0646875,
312,6.77557e-09,0.224063,0.0646875,
313,6.75741e-09,0.224063,0.0646875,
314,6.7393e-09,0.224063,0.0646875,
315,6.72013e-09,0.224063,0.0646875,
316,6.70191e-09,0.224063,0.0646875,
317,6.68271e-09,0.224063,0.0646875,
318,6.6648e-09,0.224063,0.0646875,
319,6.64707e-09,0.224063,0.0646875,
320,6.62817e-09,0.224063,0.0646875,
321,6.61009e-09,0.224063,0.0646875,
322,6.59204e-09,0.224063,0.0646875,
323,6.57327e-09,0.224063,0.0646875,
324,6.55563e-09,0.224063,0.0646875,
325,6.53799e-09,0.224063,0.0646875,
326,6.51942e-09,0.224063,0.0646875,
327,6.50196e-09,0.224063,0.0646875,
328,6.48445e-09,0.224063,0.0646875,
329,6.46574e-09,0.224063,0.0646875,
330,6.44798e-09,0.224063,0.0646875,
331,6.4295e-09,0.224063,0.0646875,
332,6.41227e-09,0.224063,0.0646875,
333,6.39511e-09,0.224063,0.0646875,
334,6.377e-09,0.224063,0.0646875,
335,6.35984e-09,0.224063,0.0646875,
336,6.34276e-09,0.224063,0.0646875,
337,6.32466e-09,0.224063,0.0646875,
338,6.30742e-09,0.224063,0.0646875,
339,6.29021e-09,0.224063,0.0646875,
340,6.27238e-09,0.224063,0.0646875,
341,6.25582e-09,0.224063,0.0646875,
342,6.23922e-09,0.224063,0.0646875,
343,6.22159e-09,0.224063,0.0646875,
344,6.20483e-09,0.224063,0.0646875,
345,6.18718e-09,0.224063,0.0646875,
346,6.17057e-09,0.224063,0.0646875,
347,6.15411e-09,0.224063,0.0646875,
348,6.13677e-09,0.224063,0.0646875,
349,6.1203e-09,0.224063,0.0646875,
350,6.10397e-09,0.224063,0.0646875,
351,6.08707e-09,0.224063,0.0646875,
352,6.07122e-09,0.224063,0.0646875,
353,6.05454e-09,0.224063,0.0646875,
354,6.03529e-09,0.224063,0.0646875,
355,6.01591e-09,0.224063,0.0646875,
356,5.99742e-09,0.224063,0.0646875,
357,5.97918e-09,0.224063,0.0646875,
358,5.9608e-09,0.224063,0.0646875,
359,5.94292e-09,0.224063,0.0646875,
360,5.9248e-09,0.224063,0.0646875,
361,5.90673e-09,0.224063,0.0646875,
362,5.88743e-09,0.224063,0.0646875,
363,5.86868e-09,0.224063,0.0646875,
364,5.85006e-09,0.224063,0.0646875,
365,5.83098e-09,0.224063,0.0646875,
366,5.81277e-09,0.224063,0.0646875,
367,5.79358e-09,0.224063,0.0646875,
368,5.7755e-09,0.224063,0.0646875,
369,5.75658e-09,0.224063,0.0646875,
370,5.73877e-09,0.224063,0.0646875,
371,5.72107e-09,0.224063,0.0646875,
372,5.70236e-09,0.224063,0.0646875,
373,5.6846e-09,0.224063,0.0646875,
374,5.66682e-09,0.224063,0.0646875,
375,5.64794e-09,0.224063,0.0646875,
376,5.63008e-09,0.224063,0.0646875,
377,5.61255e-09,0.224063,0.0646875,
378,5.59451e-09,0.224063,0.0646875,
379,5.57764e-09,0.224063,0.0646875,
380,5.55982e-09,0.224063,0.0646875,
381,5.54306e-09,0.224063,0.0646875,
382,5.5266e-09,0.224063,0.0646875,
383,5.50946e-09,0.224063,0.0646875,
384,5.49331e-09,0.224063,0.0646875,
385,5.47732e-09,0.224063,0.0646875,
386,5.46058e-09,0.224063,0.0646875,
387,5.44466e-09,0.224063,0.0646875,
388,5.42869e-09,0.224063,0.0646875,
389,5.41197e-09,0.224063,0.0646875,
390,5.39642e-09,0.224063,0.0646875,
391,5.38033e-09,0.224063,0.0646875,
392,5.36532e-09,0.224063,0.0646875,
393,5.35038e-09,0.224063,0.0646875,
394,5.33465e-09,0.224063,0.0646875,
395,5.31987e-09,0.224063,0.0646875,
396,5.30522e-09,0.224063,0.0646875,
397,5.29496e-09,0.252188,0.0215625,
398,5.2924e-09,0.252188,0.0215625,
399,5.28986e-09,0.252188,0.0215625,
400,5.28732e-09,0.252188,0.0215625,
